index,particle_id,type_b0,type_b1,type_b2,type_b3,flags16,ptr24,ptr28,ptr36,ptr48,ptr52,ptr56,field0,field4
0,1,2,0,0,0,3,0,0,220,268,288,304,151650,4294903412
1,1,2,0,0,0,3,320,0,516,564,584,600,2164260864,4279567975
2,1,2,0,0,0,3,616,0,836,912,932,948,2147487776,4280616551
3,1,2,1,1,1,3,0,964,976,1024,288,1044,151618,4294903409
4,1,2,0,3,3,3,1060,0,1256,1292,1312,1328,16385,4294903404
5,1,2,0,0,0,3,1060,1344,1356,1292,0,1392,285229057,4294903406
6,1,0,0,0,0,3,1060,1408,1356,0,1420,1436,0,4294903407
7,1,0,0,0,0,3,1060,1452,1464,1500,1520,1536,2117632,4294903408
8,1,2,0,0,0,3,1060,1552,1564,1292,0,1600,268451840,4294903406
9,1,1,0,3,3,3,1060,0,1616,1652,1672,1688,286720,4294903402
10,1,2,0,0,0,3,1704,0,1900,1948,1520,1968,272777280,4294903403
11,1,2,0,3,1,3,1704,0,1984,2032,1520,2052,2420244544,4279240299
12,1,2,0,3,1,3,1704,0,2068,2104,1520,2052,2418147392,4279240299
13,1,0,0,0,0,3,1060,1408,1356,0,1420,1436,0,4294903407
14,1,2,0,3,1,3,1704,0,1984,2032,1520,2052,2420244544,4279240299
15,1,0,0,3,3,3,2136,0,2332,1292,1312,2368,20480,4294903401
16,1,2,0,0,0,3,1060,0,2384,1292,2420,2436,2121729,4294903410
17,1,2,0,3,1,3,1704,0,2452,2104,1520,2052,2418147392,4279240299
18,1,2,0,0,0,3,616,0,836,912,932,948,2147487776,4280616551
19,1,2,0,0,0,3,1704,0,2500,1948,1520,2536,270680128,4294903403
20,1,2,0,1,1,3,2552,0,2748,2796,584,1536,1134656,4279240295
21,1,0,0,0,0,3,1060,0,2816,2864,2884,2900,16793600,4294903411
22,1,2,0,1,1,3,2552,0,2748,2916,584,1536,1134656,4279240295
23,1,5,0,0,0,3,2936,3132,3144,1292,3180,3196,16793600,4294903405
24,1,2,0,1,1,3,2552,0,3212,3248,584,1536,81920,4279240295
25,1,2,0,1,1,3,3268,0,3212,3476,584,3496,64,4294903399
26,1,2,0,1,1,3,2552,0,2748,3512,584,1536,1134656,4279240295
27,1,2,0,0,0,3,320,0,3532,3568,584,600,2164260864,4279502439
28,2,2,1,1,1,3,3588,3784,3144,3796,184,3816,3221241872,68355694
29,3,2,1,1,1,7,3832,4028,2452,4040,184,4060,3221356608,4279043687
30,3,0,0,0,0,3,0,4076,4088,4124,4144,4160,64,4294903441
31,4,2,0,0,0,3,1060,4176,4188,1292,184,4224,32768,83822191
32,5,2,1,1,1,7,4240,4436,2452,4448,184,4468,1082261568,4294903399
33,5,2,0,1,1,3,4484,4680,4692,4740,1520,4760,1073758208,4294903444
34,5,2,0,0,0,3,1060,4776,4788,1292,4824,4840,32768,67044968
35,6,2,0,1,1,3,4484,4680,4692,4740,1520,4856,1073758208,4294903444
36,6,2,1,1,1,7,4872,0,2452,4448,184,4468,1082261584,4294903399
37,6,2,0,0,0,3,1060,5080,5092,5128,4824,5148,32768,67044975
38,7,0,0,0,0,3,0,5164,5176,5212,5232,5248,64,4294903441
39,7,2,1,1,1,7,5264,0,3144,5472,184,5492,1073872976,4294903406
40,7,2,0,0,0,3,5508,5704,5716,1292,4824,5752,32768,67045004
41,8,0,0,0,0,3,0,5164,5176,5212,5232,5248,64,4294903441
42,8,2,1,1,1,3,5768,0,3144,5472,184,5964,1073872976,4294903406
43,8,2,0,0,0,3,1060,5704,3144,1292,4824,5752,64,67045004
44,9,0,0,0,0,3,5980,6176,5716,1292,6188,6204,32768,4294903401
45,9,2,1,1,1,3,6220,6416,6428,6464,6484,6500,1073741828,4279699047
46,9,4,1,1,1,3,6516,6712,3144,6464,6484,6724,3221373008,218039917
47,10,2,1,1,1,3,6740,6936,6972,7020,6484,7040,1073889352,16713319
48,11,2,1,2,2,3,7056,7252,7288,7352,7372,7388,3221246016,35194471
49,12,2,3,3,3,3,7404,7600,7612,7648,184,7668,3222290496,4280682087
50,13,0,0,0,0,3,0,7684,4088,4124,4144,4160,64,4294903441
51,13,2,1,3,3,3,7696,7892,7928,7964,6484,7984,3222290440,139069031
52,13,2,1,3,3,3,8000,7892,4692,8220,6484,8240,64,150931047
53,14,2,1,1,2,3,8256,8452,3144,8492,7372,8512,1073758208,37946983
54,15,2,0,0,0,3,8528,8724,8736,8772,6484,8792,64,4294903399
55,15,2,1,1,1,3,8808,8724,8736,8772,6484,9004,1073741888,50267751
56,15,2,0,0,0,3,1060,9020,9032,9108,3180,9128,147456,4294903450
57,16,2,1,1,1,3,9144,9340,9376,9412,6484,9004,1073872960,50267751
58,19,2,1,1,1,3,9432,6416,9628,9664,6484,9684,1073872916,71108199
59,19,4,0,0,0,3,1060,5704,3144,1292,4824,4224,0,67044967
60,20,2,1,1,1,3,9700,964,9896,1024,9932,9948,3221442560,4279174803
61,20,4,0,0,0,3,1060,964,9964,0,10012,10028,40960,4294903411
62,21,2,1,1,1,7,1060,10044,10080,10116,184,10136,1073872960,4281337447
63,21,2,0,0,0,7,10152,10044,10372,10408,184,10428,1073872960,4294903399
64,21,2,1,1,1,7,10444,10044,10372,10116,184,10136,1073872960,4281337447
65,21,2,1,1,1,7,1060,10044,10372,10116,184,10136,1073872960,4281337447
66,22,2,0,3,1,3,10664,0,3212,10872,1520,10892,33816660,4294903399
67,22,0,0,0,0,3,1060,1452,10908,1500,1520,1536,37769220,4294903426
68,22,2,0,3,1,3,10664,0,3212,10872,1520,10892,33816660,4294903399
69,22,2,0,3,1,3,10664,0,3212,10872,1520,10892,33816660,4294903399
70,22,0,0,0,0,3,1060,1452,10968,11016,1520,11036,33837060,4294903422
71,22,2,0,1,1,3,11052,0,11248,11296,184,11316,1107689540,4294903403
72,22,2,0,1,1,3,11332,0,11528,11576,184,11596,33685572,4294903403
73,22,2,0,1,1,3,11332,0,11612,11660,184,11680,33685572,4294903403
74,22,0,0,0,0,3,1060,11696,11708,1292,11744,11760,67391492,4294903423
75,23,2,0,0,0,3,11776,11972,11984,1292,12020,12036,1074020420,50267765
76,23,2,3,3,3,3,12052,0,12272,12320,1520,12340,16793600,4294903399
77,23,2,0,0,0,3,12356,11972,3212,12552,584,12572,262144,4294903399
78,23,2,0,0,0,3,12588,12784,3212,12552,584,12796,262144,4294903399
79,23,2,0,0,0,3,12812,11972,3212,12552,584,12572,262144,4294903399
80,23,2,0,3,3,1,1060,13008,13020,13056,13076,13092,278528,4294903418
81,23,2,0,0,0,3,13108,12784,3212,12552,584,13304,262145,201262695
82,23,2,0,0,0,3,1060,11972,13320,1292,13356,13372,283393,4294903420
83,23,2,3,3,3,3,12052,0,13388,13424,1520,12340,16793600,4294903399
84,23,2,0,0,0,3,12588,12784,3212,12552,584,13444,262144,4294903399
85,23,2,0,3,3,3,13460,0,13680,13728,1520,13748,16392,4294903419
86,23,2,0,0,0,3,13764,11972,3212,12552,584,12572,262144,4294903399
87,23,1,0,3,3,1,1060,11972,13960,1652,13996,14012,286724,4294903402
88,23,0,0,0,0,2,1060,14028,14040,14076,584,14096,17063940,4294903411
